127.0.0.1 - - [11/Mar/2017:09:42:38 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:42:40 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 200 11129
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:42:40 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6659
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:42:40 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:43:33 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6659
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:43:34 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:43:40 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6659
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:43:40 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:43:40 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:43:40 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:43:51 +0800] "GET /tlweb/AjaxJs/CheckUser.jsp?user=13929009608&datetime=1489196631177 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:44:09 +0800] "GET /tlweb/AjaxJs/GetProvince.jsp?country=%E4%B8%AD%E5%9B%BD&datetime=1489196649487 HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:44:13 +0800] "GET /tlweb/AjaxJs/GetCity.jsp?province=%E9%BB%91%E9%BE%99%E6%B1%9F%E7%9C%81&datetime=1489196653295 HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:44:16 +0800] "GET /tlweb/AjaxJs/GetCity.jsp?province=%E5%8C%97%E4%BA%AC%E5%B8%82&datetime=1489196656271 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:44:20 +0800] "GET /tlweb/AjaxJs/GetCity.jsp?province=%E6%BE%B3%E9%97%A8%E7%89%B9%E5%88%AB%E8%A1%8C%E6%94%BF%E5%8C%BA&datetime=1489196660854 HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:44:52 +0800] "GET /tlweb/AjaxJs/GetCity.jsp?province=%E5%B9%BF%E4%B8%9C%E7%9C%81&datetime=1489196692311 HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:45:13 +0800] "GET /tlweb/AjaxJs/CheckUser.jsp?user=13929009607&datetime=1489196713834 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:48:43 +0800] "GET /tlweb/AjaxJs/GetProvince.jsp?country=%E8%B6%8A%E5%8D%97&datetime=1489196923680 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:48:44 +0800] "GET /tlweb/AjaxJs/GetProvince.jsp?country=%E4%B8%AD%E5%9B%BD&datetime=1489196924976 HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:48:47 +0800] "GET /tlweb/AjaxJs/GetCity.jsp?province=%E6%B2%B3%E5%8D%97%E7%9C%81&datetime=1489196927512 HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:49:31 +0800] "GET /tlweb/AjaxJs/GetProvince.jsp?country=%E4%B8%AD%E5%9B%BD&datetime=1489196971192 HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:49:38 +0800] "GET /tlweb/AjaxJs/GetCity.jsp?province=%E5%B9%BF%E4%B8%9C%E7%9C%81&datetime=1489196978105 HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:50:59 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6719
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:50:59 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:50:59 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:51:26 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6727
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:51:26 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:52:47 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6684
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:52:47 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:52:47 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:52:48 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6684
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:52:48 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:52:48 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:53:17 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6741
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:53:17 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:53:17 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:53:36 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6741
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:53:36 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:53:36 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:53:44 +0800] "GET /tlweb/AjaxJs/GetProvince.jsp?country=%E4%B8%AD%E5%9B%BD&datetime=1489197224712 HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:53:46 +0800] "GET /tlweb/AjaxJs/GetCity.jsp?province=%E5%90%89%E6%9E%97%E7%9C%81&datetime=1489197226025 HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:54:00 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6741
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:54:00 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:54:00 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:54:14 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6742
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:54:35 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6741
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:54:38 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6741
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:54:38 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:54:38 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:54:40 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6741
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:54:40 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:54:40 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:55:02 +0800] "GET /tlweb/AjaxJs/GetProvince.jsp?country=%E4%B8%AD%E5%9B%BD&datetime=1489197302472 HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:55:04 +0800] "GET /tlweb/AjaxJs/GetCity.jsp?province=%E5%86%85%E8%92%99%E5%8F%A4%E8%87%AA%E6%B2%BB%E5%8C%BA&datetime=1489197304201 HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:55:06 +0800] "GET /tlweb/AjaxJs/GetCity.jsp?province=%E6%BE%B3%E9%97%A8%E7%89%B9%E5%88%AB%E8%A1%8C%E6%94%BF%E5%8C%BA&datetime=1489197306328 HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:55:14 +0800] "GET /tlweb/AjaxJs/GetCity.jsp?province=%E6%96%B0%E7%96%86%E7%BB%B4%E5%90%BE%E5%B0%94%E8%87%AA%E6%B2%BB%E5%8C%BA&datetime=1489197314920 HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:55:27 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6740
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:55:27 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:55:27 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:55:49 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6661
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:55:55 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6661
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:55:55 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:55:55 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:57:48 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6663
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:57:48 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:57:48 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:59:52 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:59:52 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:09:59:52 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
